entity_id,state,last_changed
sensor.combined_mesh_solar_energy,23810.33,2026-06-29T09:16:48.281Z
sensor.combined_mesh_solar_energy,23810.39,2026-06-29T09:18:36.268Z
sensor.combined_mesh_solar_energy,23810.45,2026-06-29T09:20:49.270Z
sensor.combined_mesh_solar_energy,23810.51,2026-06-29T09:22:47.293Z
sensor.combined_mesh_solar_energy,23810.57,2026-06-29T09:24:26.090Z
sensor.combined_mesh_solar_energy,23810.64,2026-06-29T09:26:16.562Z
sensor.combined_mesh_solar_energy,23810.71,2026-06-29T09:29:01.478Z
sensor.combined_mesh_solar_energy,23810.77,2026-06-29T09:31:01.323Z
sensor.combined_mesh_solar_energy,23810.84,2026-06-29T09:32:11.651Z
sensor.combined_mesh_solar_energy,23810.91,2026-06-29T09:34:45.573Z
sensor.combined_mesh_solar_energy,23810.97,2026-06-29T09:36:58.270Z
sensor.combined_mesh_solar_energy,23811.03,2026-06-29T09:38:04.278Z
sensor.combined_mesh_solar_energy,23811.08,2026-06-29T09:40:52.272Z
sensor.combined_mesh_solar_energy,23811.12,2026-06-29T09:42:39.561Z
sensor.combined_mesh_solar_energy,23811.17,2026-06-29T09:44:59.258Z
sensor.combined_mesh_solar_energy,23811.22,2026-06-29T09:46:12.629Z
sensor.combined_mesh_solar_energy,23811.26,2026-06-29T09:48:16.315Z
sensor.combined_mesh_solar_energy,23811.32,2026-06-29T09:50:53.696Z
sensor.combined_mesh_solar_energy,23811.39,2026-06-29T09:52:06.594Z
sensor.combined_mesh_solar_energy,23811.45,2026-06-29T09:54:56.292Z
sensor.combined_mesh_solar_energy,23811.51,2026-06-29T09:56:07.539Z
sensor.combined_mesh_solar_energy,23811.57,2026-06-29T09:58:54.272Z
sensor.combined_mesh_solar_energy,23811.64,2026-06-29T10:01:00.080Z
sensor.combined_mesh_solar_energy,23811.71,2026-06-29T10:02:08.294Z
sensor.combined_mesh_solar_energy,23811.77,2026-06-29T10:04:13.274Z
sensor.combined_mesh_solar_energy,23811.83,2026-06-29T10:06:21.086Z
sensor.combined_mesh_solar_energy,23811.9,2026-06-29T10:08:51.267Z
sensor.combined_mesh_solar_energy,23811.96,2026-06-29T10:10:07.259Z
sensor.combined_mesh_solar_energy,23812.02,2026-06-29T10:12:38.279Z
sensor.combined_mesh_solar_energy,23812.08,2026-06-29T10:14:18.270Z
sensor.combined_mesh_solar_energy,23812.14,2026-06-29T10:16:57.273Z
sensor.combined_mesh_solar_energy,23812.2,2026-06-29T10:18:34.630Z
sensor.combined_mesh_solar_energy,23812.27,2026-06-29T10:20:58.314Z
sensor.combined_mesh_solar_energy,23812.33,2026-06-29T10:22:20.275Z
sensor.combined_mesh_solar_energy,23812.4,2026-06-29T10:24:42.284Z
sensor.combined_mesh_solar_energy,23812.47,2026-06-29T10:26:42.372Z
sensor.combined_mesh_solar_energy,23812.53,2026-06-29T10:28:13.269Z
sensor.combined_mesh_solar_energy,23812.58,2026-06-29T10:30:06.505Z
sensor.combined_mesh_solar_energy,23812.64,2026-06-29T10:32:20.702Z
sensor.combined_mesh_solar_energy,23812.71,2026-06-29T10:34:24.291Z
sensor.combined_mesh_solar_energy,23812.78,2026-06-29T10:36:54.599Z
sensor.combined_mesh_solar_energy,23812.87,2026-06-29T10:38:26.323Z
sensor.combined_mesh_solar_energy,23812.96,2026-06-29T10:40:13.643Z
sensor.combined_mesh_solar_energy,23813.06,2026-06-29T10:42:16.505Z
sensor.combined_mesh_solar_energy,23813.17,2026-06-29T10:44:07.278Z
sensor.combined_mesh_solar_energy,23813.28,2026-06-29T10:46:59.277Z
sensor.combined_mesh_solar_energy,23813.37,2026-06-29T10:49:01.306Z
sensor.combined_mesh_solar_energy,23813.44,2026-06-29T10:50:06.092Z
sensor.combined_mesh_solar_energy,23813.51,2026-06-29T10:52:32.833Z
sensor.combined_mesh_solar_energy,23813.59,2026-06-29T10:54:41.305Z
sensor.combined_mesh_solar_energy,23813.68,2026-06-29T10:56:09.263Z
sensor.combined_mesh_solar_energy,23813.79,2026-06-29T10:58:04.590Z
sensor.combined_mesh_solar_energy,23813.95,2026-06-29T11:00:33.303Z
sensor.combined_mesh_solar_energy,23814.09,2026-06-29T11:02:52.768Z
sensor.combined_mesh_solar_energy,23814.22,2026-06-29T11:04:15.579Z
sensor.combined_mesh_solar_energy,23814.31,2026-06-29T11:06:38.316Z
sensor.combined_mesh_solar_energy,23814.4,2026-06-29T11:08:46.288Z
sensor.combined_mesh_solar_energy,23814.48,2026-06-29T11:10:22.318Z
sensor.combined_mesh_solar_energy,23814.58,2026-06-29T11:12:07.565Z
sensor.combined_mesh_solar_energy,23814.67,2026-06-29T11:14:23.313Z
sensor.combined_mesh_solar_energy,23814.75,2026-06-29T11:16:52.601Z
sensor.combined_mesh_solar_energy,23814.82,2026-06-29T11:18:33.810Z
sensor.combined_mesh_solar_energy,23814.88,2026-06-29T11:21:01.569Z
sensor.combined_mesh_solar_energy,23814.94,2026-06-29T11:22:26.611Z
sensor.combined_mesh_solar_energy,23814.99,2026-06-29T11:24:15.584Z
sensor.combined_mesh_solar_energy,23815.03,2026-06-29T11:26:17.278Z
sensor.combined_mesh_solar_energy,23815.08,2026-06-29T11:29:02.572Z
sensor.combined_mesh_solar_energy,23815.13,2026-06-29T11:30:57.085Z
sensor.combined_mesh_solar_energy,23815.21,2026-06-29T11:32:33.073Z
sensor.combined_mesh_solar_energy,23815.32,2026-06-29T11:34:38.283Z
sensor.combined_mesh_solar_energy,23815.51,2026-06-29T11:36:55.281Z
sensor.combined_mesh_solar_energy,23815.66,2026-06-29T11:38:40.623Z
sensor.combined_mesh_solar_energy,23815.76,2026-06-29T11:40:12.278Z
sensor.combined_mesh_solar_energy,23815.87,2026-06-29T11:42:39.622Z
sensor.combined_mesh_solar_energy,23816.07,2026-06-29T11:44:33.568Z
sensor.combined_mesh_solar_energy,23816.38,2026-06-29T11:46:23.218Z
sensor.combined_mesh_solar_energy,23816.67,2026-06-29T11:48:20.284Z
sensor.combined_mesh_solar_energy,23816.92,2026-06-29T11:50:19.727Z
sensor.combined_mesh_solar_energy,23817.1,2026-06-29T11:52:36.278Z
sensor.combined_mesh_solar_energy,23817.36,2026-06-29T11:54:43.282Z
sensor.combined_mesh_solar_energy,23817.57,2026-06-29T11:56:09.651Z
sensor.combined_mesh_solar_energy,23817.72,2026-06-29T11:58:38.269Z
sensor.combined_mesh_solar_energy,23817.84,2026-06-29T12:00:59.272Z
sensor.combined_mesh_solar_energy,23817.95,2026-06-29T12:02:18.282Z
sensor.combined_mesh_solar_energy,23818.06,2026-06-29T12:04:53.033Z
sensor.combined_mesh_solar_energy,23818.17,2026-06-29T12:06:37.730Z
sensor.combined_mesh_solar_energy,23818.26,2026-06-29T12:08:51.274Z
sensor.combined_mesh_solar_energy,23818.35,2026-06-29T12:10:16.370Z
sensor.combined_mesh_solar_energy,23818.46,2026-06-29T12:12:22.070Z
sensor.combined_mesh_solar_energy,23818.58,2026-06-29T12:14:52.431Z
sensor.combined_mesh_solar_energy,23818.7,2026-06-29T12:16:33.381Z
sensor.combined_mesh_solar_energy,23818.85,2026-06-29T12:18:47.427Z
sensor.combined_mesh_solar_energy,23818.98,2026-06-29T12:20:37.591Z
sensor.combined_mesh_solar_energy,23819.11,2026-06-29T12:22:41.306Z
sensor.combined_mesh_solar_energy,23819.23,2026-06-29T12:24:13.244Z
sensor.combined_mesh_solar_energy,23819.34,2026-06-29T12:26:52.659Z
sensor.combined_mesh_solar_energy,23819.44,2026-06-29T12:28:58.243Z
sensor.combined_mesh_solar_energy,23819.55,2026-06-29T12:30:29.284Z
sensor.combined_mesh_solar_energy,23819.67,2026-06-29T12:32:07.315Z
sensor.combined_mesh_solar_energy,23819.79,2026-06-29T12:34:07.276Z
sensor.combined_mesh_solar_energy,23819.94,2026-06-29T12:36:43.284Z
sensor.combined_mesh_solar_energy,23820.15,2026-06-29T12:38:37.544Z
sensor.combined_mesh_solar_energy,23820.35,2026-06-29T12:40:56.099Z
sensor.combined_mesh_solar_energy,23820.62,2026-06-29T12:42:38.558Z
sensor.combined_mesh_solar_energy,23820.91,2026-06-29T12:44:32.674Z
